hidden_dim=768 feature=0 selected_neurons_count=102 selected_neurons=[(588, 10.364278793334961), (551, 8.907269477844238), (570, 2.949892520904541), (330, 1.8551675081253052), (331, 1.8132058382034302), (749, 1.5830931663513184), (217, 1.383293867111206), (157, 1.2076395750045776), (41, 1.1724551916122437), (324, 1.1511417627334595)]
hidden_dim=768 feature=1 selected_neurons_count=62 selected_neurons=[(588, 9.486100196838379), (551, 5.559854030609131), (61, 1.5359433889389038), (611, 1.3719433546066284), (47, 1.0885542631149292), (331, 1.0094527006149292), (254, 0.9230067729949951), (408, 0.8758328557014465), (526, 0.857292652130127), (330, 0.8080875277519226)]
hidden_dim=768 feature=2 selected_neurons_count=173 selected_neurons=[(588, 11.31299877166748), (61, 2.2105448246002197), (573, 2.0129292011260986), (124, 1.7602441310882568), (95, 1.6880930662155151), (219, 1.6713604927062988), (551, 1.5445847511291504), (156, 1.4173624515533447), (79, 1.395363211631775), (720, 1.3213577270507812)]
hidden_dim=768 feature=3 selected_neurons_count=100 selected_neurons=[(588, 10.660429954528809), (551, 8.536486625671387), (570, 2.8590011596679688), (330, 1.7577325105667114), (331, 1.7548315525054932), (217, 1.641356348991394), (749, 1.2625374794006348), (157, 1.1484410762786865), (324, 1.1471730470657349), (41, 1.123258352279663)]
hidden_dim=768 feature=4 selected_neurons_count=148 selected_neurons=[(588, 11.220344543457031), (551, 2.3959169387817383), (79, 1.3422093391418457), (11, 1.3026857376098633), (3, 1.2879867553710938), (573, 1.229297399520874), (156, 1.2254142761230469), (95, 1.1196720600128174), (67, 1.1178139448165894), (261, 1.0638654232025146)]
hidden_dim=768 feature=5 selected_neurons_count=148 selected_neurons=[(588, 5.624669075012207), (551, 3.645901679992676), (656, 1.9125381708145142), (570, 1.9038360118865967), (330, 1.8622184991836548), (611, 1.8217257261276245), (664, 1.8062756061553955), (38, 1.7279962301254272), (61, 1.607869267463684), (397, 1.4878220558166504)]
hidden_dim=768 feature=6 selected_neurons_count=196 selected_neurons=[(551, 4.476106643676758), (570, 3.896880626678467), (38, 3.1145238876342773), (330, 2.8599853515625), (588, 2.741053819656372), (611, 2.2511239051818848), (664, 1.90216863155365), (215, 1.8340177536010742), (656, 1.7269057035446167), (529, 1.4983247518539429)]
hidden_dim=768 feature=7 selected_neurons_count=75 selected_neurons=[(588, 8.224455833435059), (551, 7.279680252075195), (570, 2.2528162002563477), (330, 1.6287784576416016), (331, 1.5755635499954224), (749, 1.263323426246643), (217, 1.0674734115600586), (245, 1.0663601160049438), (157, 1.0374008417129517), (254, 1.0121040344238281)]
hidden_dim=768 feature=8 selected_neurons_count=111 selected_neurons=[(588, 10.40956974029541), (551, 8.320528030395508), (570, 2.5638582706451416), (217, 1.6196849346160889), (330, 1.496690273284912), (331, 1.474890947341919), (749, 1.2767651081085205), (662, 1.2378764152526855), (647, 1.2149242162704468), (157, 1.1743664741516113)]
hidden_dim=768 feature=9 selected_neurons_count=74 selected_neurons=[(588, 11.135123252868652), (551, 5.922887802124023), (570, 1.7580112218856812), (217, 1.442049503326416), (330, 1.3137707710266113), (331, 1.2559070587158203), (573, 1.0061049461364746), (156, 0.8988194465637207), (171, 0.8447413444519043), (324, 0.8073358535766602)]
hidden_dim=768 feature=10 selected_neurons_count=222 selected_neurons=[(551, 5.668582439422607), (570, 3.7906975746154785), (611, 2.766709327697754), (656, 2.585258960723877), (245, 2.552220344543457), (664, 2.418924570083618), (38, 2.331841468811035), (397, 2.083461284637451), (331, 1.7473387718200684), (159, 1.7333046197891235)]
