hidden_dim=768 feature=0 selected_neurons_count=165 selected_neurons=[(551, 5.802187442779541), (570, 3.8593504428863525), (38, 2.6796584129333496), (656, 2.447314500808716), (611, 2.229546546936035), (330, 2.13683819770813), (664, 1.9627151489257812), (331, 1.8262977600097656), (193, 1.823342204093933), (122, 1.8180277347564697)]
hidden_dim=768 feature=1 selected_neurons_count=148 selected_neurons=[(588, 11.129669189453125), (551, 2.347466230392456), (3, 1.2852871417999268), (573, 1.279553771018982), (79, 1.235815167427063), (11, 1.170124888420105), (95, 1.1667178869247437), (124, 1.1495776176452637), (156, 1.1342008113861084), (49, 1.0961551666259766)]
hidden_dim=768 feature=2 selected_neurons_count=114 selected_neurons=[(588, 9.605875015258789), (551, 3.137864112854004), (570, 1.814963936805725), (624, 1.4061692953109741), (330, 1.282343864440918), (331, 1.1445568799972534), (408, 1.0857681035995483), (157, 1.0150138139724731), (611, 0.920641303062439), (426, 0.91665118932724)]
hidden_dim=768 feature=3 selected_neurons_count=50 selected_neurons=[(588, 10.8472318649292), (551, 3.7340550422668457), (61, 1.963932991027832), (496, 1.7250688076019287), (731, 1.3443039655685425), (219, 0.9800361394882202), (254, 0.9613104462623596), (10, 0.8061443567276001), (112, 0.7709720730781555), (79, 0.7500132322311401)]
hidden_dim=768 feature=4 selected_neurons_count=98 selected_neurons=[(588, 8.51992416381836), (551, 3.8487741947174072), (61, 3.1317007541656494), (611, 1.9947718381881714), (82, 1.879019021987915), (47, 1.3550524711608887), (254, 1.1772196292877197), (75, 1.1684188842773438), (519, 1.1219778060913086), (19, 1.0320361852645874)]
hidden_dim=768 feature=5 selected_neurons_count=261 selected_neurons=[(588, 6.941393852233887), (61, 3.20741868019104), (551, 2.626992702484131), (751, 2.400470733642578), (259, 2.365783929824829), (764, 2.17291259765625), (214, 2.1643519401550293), (4, 2.127298355102539), (663, 2.0247538089752197), (361, 1.9787383079528809)]
hidden_dim=768 feature=6 selected_neurons_count=76 selected_neurons=[(588, 8.224624633789062), (551, 5.28208065032959), (61, 2.5903472900390625), (330, 1.5862876176834106), (662, 1.3455958366394043), (529, 1.1231967210769653), (254, 1.1143869161605835), (63, 1.0625454187393188), (79, 0.9962422847747803), (627, 0.9463738203048706)]
hidden_dim=768 feature=7 selected_neurons_count=91 selected_neurons=[(588, 9.748793601989746), (551, 2.055422306060791), (40, 1.822424292564392), (61, 1.7149994373321533), (718, 1.330996036529541), (672, 1.192234992980957), (79, 1.1769613027572632), (112, 1.1159803867340088), (491, 1.0930126905441284), (38, 1.085186243057251)]
hidden_dim=768 feature=8 selected_neurons_count=100 selected_neurons=[(588, 10.26198959350586), (551, 8.794551849365234), (570, 2.895345687866211), (330, 1.8327786922454834), (331, 1.8088396787643433), (217, 1.5116562843322754), (749, 1.5004565715789795), (157, 1.2344738245010376), (324, 1.158098578453064), (156, 1.0972328186035156)]
hidden_dim=768 feature=9 selected_neurons_count=181 selected_neurons=[(588, 9.248478889465332), (61, 3.1504011154174805), (561, 2.2498619556427), (731, 1.8005956411361694), (254, 1.5827823877334595), (82, 1.5582399368286133), (735, 1.5233651399612427), (79, 1.4045672416687012), (662, 1.3440446853637695), (526, 1.3309533596038818)]
hidden_dim=768 feature=10 selected_neurons_count=105 selected_neurons=[(588, 11.047061920166016), (551, 2.181076765060425), (61, 1.7304306030273438), (219, 1.7105865478515625), (573, 1.496817708015442), (105, 1.0857850313186646), (169, 1.0706437826156616), (40, 1.017351746559143), (95, 0.9981352090835571), (79, 0.9773760437965393)]
hidden_dim=768 feature=11 selected_neurons_count=54 selected_neurons=[(588, 9.5070219039917), (551, 4.184216022491455), (611, 1.5293645858764648), (79, 1.3338453769683838), (664, 0.9234907031059265), (119, 0.8466391563415527), (254, 0.805307924747467), (169, 0.7868013978004456), (672, 0.7347937226295471), (61, 0.7301701307296753)]
hidden_dim=768 feature=12 selected_neurons_count=152 selected_neurons=[(588, 8.92268180847168), (551, 7.196758270263672), (570, 2.0928030014038086), (217, 1.6956517696380615), (331, 1.685790777206421), (330, 1.5846432447433472), (647, 1.4986217021942139), (193, 1.4197769165039062), (156, 1.2557878494262695), (324, 1.195412278175354)]
hidden_dim=768 feature=13 selected_neurons_count=67 selected_neurons=[(588, 9.673498153686523), (551, 1.9441059827804565), (61, 1.8656026124954224), (219, 1.6376445293426514), (573, 1.1232808828353882), (731, 1.0086222887039185), (82, 0.9644572138786316), (330, 0.939898669719696), (720, 0.9244601130485535), (299, 0.8046886920928955)]
hidden_dim=768 feature=14 selected_neurons_count=47 selected_neurons=[(588, 8.239347457885742), (551, 5.058895587921143), (61, 2.2304019927978516), (611, 1.415183663368225), (82, 1.0791046619415283), (219, 1.0489288568496704), (123, 0.8868901133537292), (573, 0.8610343933105469), (634, 0.8592560887336731), (169, 0.829439103603363)]
hidden_dim=768 feature=15 selected_neurons_count=60 selected_neurons=[(588, 8.766002655029297), (551, 3.7964131832122803), (61, 1.4127475023269653), (361, 1.056456446647644), (496, 1.0545237064361572), (254, 1.0509607791900635), (611, 1.043086051940918), (79, 0.9598926901817322), (119, 0.9344952702522278), (756, 0.9321666955947876)]
hidden_dim=768 feature=16 selected_neurons_count=273 selected_neurons=[(588, 6.566417694091797), (551, 3.6675150394439697), (61, 3.2651658058166504), (751, 2.5642993450164795), (764, 2.4484663009643555), (361, 2.32605242729187), (214, 2.2495667934417725), (259, 2.1710493564605713), (663, 2.1447646617889404), (249, 2.0133514404296875)]
hidden_dim=768 feature=17 selected_neurons_count=201 selected_neurons=[(588, 8.06436538696289), (61, 4.655439376831055), (551, 3.378781795501709), (215, 2.385009288787842), (751, 1.9556909799575806), (498, 1.9400076866149902), (361, 1.7221533060073853), (79, 1.7125552892684937), (119, 1.6880439519882202), (446, 1.6819177865982056)]
hidden_dim=768 feature=18 selected_neurons_count=185 selected_neurons=[(588, 4.143650531768799), (551, 3.4116010665893555), (570, 2.839564323425293), (159, 1.8573169708251953), (97, 1.6955833435058594), (57, 1.680130958557129), (224, 1.6178350448608398), (333, 1.5870707035064697), (340, 1.4401953220367432), (330, 1.4048370122909546)]
hidden_dim=768 feature=19 selected_neurons_count=143 selected_neurons=[(588, 9.813775062561035), (551, 3.647007703781128), (61, 3.2750089168548584), (731, 1.7454676628112793), (586, 1.6251778602600098), (764, 1.5434166193008423), (219, 1.5136009454727173), (496, 1.48878812789917), (662, 1.4330651760101318), (144, 1.280411720275879)]
hidden_dim=768 feature=20 selected_neurons_count=103 selected_neurons=[(588, 10.669989585876465), (61, 2.4745566844940186), (551, 2.1358745098114014), (219, 1.8882416486740112), (573, 1.6290743350982666), (124, 1.4275692701339722), (731, 1.2476028203964233), (169, 1.0318002700805664), (156, 1.0127588510513306), (82, 0.9952183365821838)]
hidden_dim=768 feature=21 selected_neurons_count=100 selected_neurons=[(588, 6.566185474395752), (551, 4.778494834899902), (61, 2.5840744972229004), (526, 1.0588709115982056), (748, 1.049463152885437), (741, 1.0435665845870972), (578, 0.919498860836029), (254, 0.9113100171089172), (573, 0.9019880890846252), (262, 0.8970575332641602)]
